datetime,Unemployment Rate,Real GDP (Percent Change),Effective Federal Funds Rate,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target
2006-05-10,,,,5.0,,
2006-06-01,4.6,,4.99,5.0,,
2006-06-29,,,,5.25,,
2006-07-01,4.7,0.4,5.24,5.25,,
2006-08-01,4.7,,5.25,5.25,,
2006-09-01,4.5,,5.25,5.25,,
2006-10-01,4.4,3.2,5.25,5.25,,
2006-11-01,4.5,,5.25,5.25,,
2006-12-01,4.4,,5.24,5.25,,
2007-01-01,4.6,0.2,5.25,5.25,,
2007-02-01,4.5,,5.26,5.25,,
2007-03-01,4.4,,5.26,5.25,,
2007-04-01,4.5,3.1,5.25,5.25,,
2007-05-01,4.4,,5.25,5.25,,
2007-06-01,4.6,,5.25,5.25,,
2007-07-01,4.7,2.7,5.26,5.25,,
2007-08-01,4.6,,5.02,5.25,,
2007-09-01,4.7,,4.94,5.25,,
2007-09-18,,,,4.75,,
2007-10-01,4.7,1.4,4.76,4.75,,
2007-10-31,,,,4.5,,
2007-11-01,4.7,,4.49,4.5,,
2007-12-01,5.0,,4.24,4.5,,
2007-12-11,,,,4.25,,
2008-01-01,5.0,-2.7,3.94,4.25,,
2008-01-22,,,,3.5,,
2008-01-30,,,,3.0,,
2008-02-01,4.9,,2.98,3.0,,
2008-03-01,5.1,,2.61,3.0,,
2008-03-18,,,,2.25,,
2008-04-01,5.0,2.0,2.28,2.25,,
2008-04-30,,,,2.0,,
2008-05-01,5.4,,1.98,2.0,,
2008-06-01,5.6,,2.0,2.0,,
2008-07-01,5.8,-1.9,2.01,2.0,,
2008-08-01,6.1,,2.0,2.0,,
2008-09-01,6.1,,1.81,2.0,,
2008-10-01,6.5,-8.2,0.97,2.0,,
2008-10-08,,,,1.5,,
2008-10-29,,,,1.0,,
2008-11-01,6.8,,0.39,1.0,,
2008-12-01,7.3,,0.16,1.0,,
2008-12-16,,,,,0.25,0.0
2009-01-01,7.8,-5.4,0.15,,0.25,0.0
2009-02-01,8.3,,0.22,,0.25,0.0
2009-03-01,8.7,,0.18,,0.25,0.0
2009-04-01,9.0,-0.5,0.15,,0.25,0.0
2009-05-01,9.4,,0.18,,0.25,0.0
2009-06-01,9.5,,0.21,,0.25,0.0
2009-07-01,9.5,1.3,0.16,,0.25,0.0
2009-08-01,9.6,,0.16,,0.25,0.0
2009-09-01,9.8,,0.15,,0.25,0.0
2009-10-01,10.0,3.9,0.12,,0.25,0.0
2009-11-01,9.9,,0.12,,0.25,0.0
2009-12-01,9.9,,0.12,,0.25,0.0
2010-01-01,9.8,1.7,0.11,,0.25,0.0
2010-02-01,9.8,,0.13,,0.25,0.0
2010-03-01,9.9,,0.16,,0.25,0.0
2010-04-01,9.9,3.9,0.2,,0.25,0.0
2010-05-01,9.6,,0.2,,0.25,0.0
2010-06-01,9.4,,0.18,,0.25,0.0
2010-07-01,9.4,2.7,0.18,,0.25,0.0
2010-08-01,9.5,,0.19,,0.25,0.0
2010-09-01,9.5,,0.19,,0.25,0.0
2010-10-01,9.4,2.5,0.19,,0.25,0.0
2010-11-01,9.8,,0.19,,0.25,0.0
2010-12-01,9.3,,0.18,,0.25,0.0
2011-01-01,9.1,-1.5,0.17,,0.25,0.0
2011-02-01,9.0,,0.16,,0.25,0.0
2011-03-01,9.0,,0.14,,0.25,0.0
2011-04-01,9.1,2.9,0.1,,0.25,0.0
2011-05-01,9.0,,0.09,,0.25,0.0
2011-06-01,9.1,,0.09,,0.25,0.0
2011-07-01,9.0,0.8,0.07,,0.25,0.0
2011-08-01,9.0,,0.1,,0.25,0.0
2011-09-01,9.0,,0.08,,0.25,0.0
2011-10-01,8.8,4.6,0.07,,0.25,0.0
2011-11-01,8.6,,0.08,,0.25,0.0
2011-12-01,8.5,,0.07,,0.25,0.0
2012-01-01,8.3,2.7,0.08,,0.25,0.0
2012-02-01,8.3,,0.1,,0.25,0.0
2012-03-01,8.2,,0.13,,0.25,0.0
2012-04-01,8.2,1.9,0.14,,0.25,0.0
2012-05-01,8.2,,0.16,,0.25,0.0
2012-06-01,8.2,,0.16,,0.25,0.0
2012-07-01,8.2,0.5,0.16,,0.25,0.0
2012-08-01,8.1,,0.13,,0.25,0.0
2012-09-01,7.8,,0.14,,0.25,0.0
2012-10-01,7.8,0.1,0.16,,0.25,0.0
2012-11-01,7.7,,0.16,,0.25,0.0
2012-12-01,7.9,,0.16,,0.25,0.0
2013-01-01,8.0,2.8,0.14,,0.25,0.0
2013-02-01,7.7,,0.15,,0.25,0.0
2013-03-01,7.5,,0.14,,0.25,0.0
2013-04-01,7.6,0.8,0.15,,0.25,0.0
2013-05-01,7.5,,0.11,,0.25,0.0
2013-06-01,7.5,,0.09,,0.25,0.0
2013-07-01,7.3,3.1,0.09,,0.25,0.0
2013-08-01,7.3,,0.08,,0.25,0.0
2013-09-01,7.2,,0.08,,0.25,0.0
2013-10-01,7.2,4.0,0.09,,0.25,0.0
2013-11-01,6.9,,0.08,,0.25,0.0
2013-12-01,6.7,,0.09,,0.25,0.0
2014-01-01,6.6,-1.2,0.07,,0.25,0.0
2014-02-01,6.7,,0.07,,0.25,0.0
2014-03-01,6.7,,0.08,,0.25,0.0
2014-04-01,6.2,4.0,0.09,,0.25,0.0
2014-05-01,6.3,,0.09,,0.25,0.0
2014-06-01,6.1,,0.1,,0.25,0.0
2014-07-01,6.2,5.0,0.09,,0.25,0.0
2014-08-01,6.2,,0.09,,0.25,0.0
2014-09-01,5.9,,0.09,,0.25,0.0
2014-10-01,5.7,2.3,0.09,,0.25,0.0
2014-11-01,5.8,,0.09,,0.25,0.0
2014-12-01,5.6,,0.12,,0.25,0.0
2015-01-01,5.7,2.0,0.11,,0.25,0.0
2015-02-01,5.5,,0.11,,0.25,0.0
2015-03-01,5.4,,0.11,,0.25,0.0
2015-04-01,5.4,2.6,0.12,,0.25,0.0
2015-05-01,5.5,,0.12,,0.25,0.0
2015-06-01,5.3,,0.13,,0.25,0.0
2015-07-01,5.2,2.0,0.13,,0.25,0.0
2015-08-01,5.1,,0.14,,0.25,0.0
2015-09-01,5.0,,0.14,,0.25,0.0
2015-10-01,5.0,0.9,0.12,,0.25,0.0
2015-11-01,5.0,,0.12,,0.25,0.0
2015-12-01,5.0,,0.24,,0.25,0.0
2015-12-16,,,,,0.5,0.25
2016-01-01,4.9,0.8,0.34,,0.5,0.25
2016-02-01,4.9,,0.38,,0.5,0.25
2016-03-01,5.0,,0.36,,0.5,0.25
2016-04-01,5.0,1.4,0.37,,0.5,0.25
2016-05-01,4.7,,0.37,,0.5,0.25
2016-06-01,4.9,,0.38,,0.5,0.25
2016-07-01,4.9,3.5,0.39,,0.5,0.25
2016-08-01,4.9,,0.4,,0.5,0.25
2016-09-01,4.9,,0.4,,0.5,0.25
2016-10-01,4.8,1.9,0.4,,0.5,0.25
2016-11-01,4.6,,0.41,,0.5,0.25
2016-12-01,4.7,,0.54,,0.5,0.25
2016-12-14,,,,,0.75,0.5
2017-01-01,4.8,,0.65,,0.75,0.5
2017-02-01,4.7,,0.66,,0.75,0.5
2017-03-01,,,,,0.75,0.5
2017-03-16,,,,,1.0,0.75
